TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,2,11,22,5,10XX BEACH AVE,Central Business District,490249.2307,5458166.8328
Break and Enter Commercial,2024,5,2,1,33,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2024,3,17,0,0,10XX BROUGHTON ST,West End,490233.2324,5459143.9805
Break and Enter Commercial,2024,6,16,16,0,10XX BROUGHTON ST,West End,490233.2324,5459143.9805
Break and Enter Commercial,2024,1,8,0,0,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2024,1,18,12,5,10XX BROUGHTON ST,West End,490247.1512,5459171.0415
Break and Enter Commercial,2024,9,16,23,44,10XX BROUGHTON ST,West End,490254.0011,5459164.9647
Break and Enter Commercial,2024,10,9,15,49,10XX BURNABY ST,West End,490513.2643,5458412.646
Break and Enter Commercial,2024,2,29,6,0,10XX BURRARD ST,West End,490729.6302,5458622.1395
Break and Enter Commercial,2024,10,28,16,1,10XX BURRARD ST,West End,490729.8291,5458622.3417
Break and Enter Commercial,2024,7,21,23,56,10XX BURRARD ST,Central Business District,490759.5183,5458639.4431
Break and Enter Commercial,2024,6,28,2,9,10XX BUTE ST,West End,490409.3152,5458906.5129
Break and Enter Commercial,2024,6,27,18,30,10XX CAMBIE ST,Central Business District,491327.6374,5458026.0508
Break and Enter Commercial,2024,8,8,7,37,10XX CAMBIE ST,Central Business District,491327.6374,5458026.0508
Break and Enter Commercial,2024,1,16,1,40,10XX CANADA PL,Central Business District,491431.5391,5459568.2163
Break and Enter Commercial,2024,8,3,6,40,10XX CANADA PL,Central Business District,491493.3146,5459541.9753
Break and Enter Commercial,2024,9,20,9,36,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2024,8,18,3,2,10XX CLARK DR,Strathcona,494373.4663,5458099.3085
Break and Enter Commercial,2024,8,24,11,32,10XX E HASTINGS ST,Strathcona,494045.235,5458690.2166
Break and Enter Commercial,2024,4,13,12,7,10XX E KENT AVE N,Sunset,493850.9547,5450670.5811
Break and Enter Commercial,2024,9,29,17,29,10XX GRANVILLE ST,Central Business District,491000.3223,5458448.6497
Break and Enter Commercial,2024,5,17,10,31,10XX GRANVILLE ST,Central Business District,491007.0556,5458468.6107
Break and Enter Commercial,2024,5,27,0,0,10XX GRANVILLE ST,Central Business District,491008.4524,5458470.039
Break and Enter Commercial,2024,7,7,6,20,10XX GRANVILLE ST,Central Business District,491008.4524,5458470.039
Break and Enter Commercial,2024,8,27,4,14,10XX GRANVILLE ST,Central Business District,491026.7242,5458475.6446
Break and Enter Commercial,2024,6,27,9,12,10XX GRANVILLE ST,Central Business District,491029.6565,5458478.6407
Break and Enter Commercial,2024,2,11,5,30,10XX HAMILTON ST,Central Business District,491198.2577,5458147.9956
Break and Enter Commercial,2024,8,20,9,35,10XX HAMILTON ST,Central Business District,491228.7215,5458179.0041
Break and Enter Commercial,2024,8,7,21,46,10XX HARO ST,West End,490899.2273,5458973.8647
Break and Enter Commercial,2024,6,14,0,40,10XX HARWOOD ST,West End,490303.8863,5458470.5702
Break and Enter Commercial,2024,4,9,17,30,10XX HOMER ST,Central Business District,491167.2767,5458188.8915
Break and Enter Commercial,2024,3,27,10,4,10XX HOMER ST,Central Business District,491198.5704,5458233.8344
Break and Enter Commercial,2024,3,27,15,15,10XX HOMER ST,Central Business District,491198.5704,5458233.8344
